,image_local_name,hashtags,deep_features,id,features
308,a41deb34-5493-4180-af98-1c19ba353769.jpg,"['#kingstoniswithyou', '#autumnlook', '#stunning', '#lovegreatbritain', '#naturephotography', '#halnakertreetunnel', '#nature', '#sony', '#landscapephotography', '#halnaker', '#autumnleaves', '#naturelover', '#weloveengland', '#autumn', '#stunningview', '#followforfollowback', '#sussex']",[0.24931194 2.3326538  0.         ... 0.3445028  0.5122972  1.8653121 ],308,"[0.06911791861057281, -0.18990755081176758, 0.4095391035079956, -0.6830052733421326, 0.2596559226512909, -0.24742311239242554, 0.19991083443164825, 0.03713255748152733, 0.34009885787963867, -0.2617988586425781]"
328,f1cd8d46-32db-40d8-a1e6-f40476a456dd.jpg,"['#campervan', '#travelphotography', '#naturephotography', '#trekking', '#nature', '#hiking', '#camper', '#wanderlust', '#camping', '#photography', '#explore', '#glamping', '#fishing', '#summer', '#bhumicantigi', '#roadtrip', '#outdoor', '#travel', '#camp', '#adventure', '#bhfyp', '#mountains', '#campinglife', '#bushcraft', '#outdoors', '#x', '#vanlife', '#survival', '#offroad', '#love']",[0.02036615 0.00711109 0.46111146 ... 0.22110951 0.         0.        ],328,"[0.11067689955234528, -0.3596402406692505, -0.7439600825309753, -0.4825313985347748, 0.22534333169460297, -0.021805280819535255, -0.45833638310432434, 0.03904223442077637, 0.2690334916114807, -0.466361939907074]"
20,30f26fcf-c3fc-434c-85f8-d9d730012460.jpg,"['#mensphysiquepic', '#ifbb', '#health', '#champion', '#sport', '#ifbbmensphysique', '#bodybuilding', '#mensphysiquerussia', '#life', '#mensphysique', '#fitness']",[0.         0.         0.         ... 0.10739271 0.         0.3155207 ],20,"[0.4708428978919983, 0.0041515883058309555, 0.010081822983920574, 0.39373958110809326, 0.2331174612045288, -0.07722987234592438, -0.11392275989055634, -0.24497666954994202, 0.2695365846157074, 0.14749868214130402]"
40,782bb190-ef4d-4026-a374-3ffcc2200c2a.jpg,"['#fitnessmotivation', '#kickboks', '#workout', '#ter', '#gym', '#muaythai', '#faster', '#mma', '#osmanl', '#t', '#tekwando', '#fighter', '#box', '#atalayihsan', '#turk', '#ufc', '#fitness', '#bozkurtlar']",[0.         0.         0.39093804 ... 0.16717166 0.         0.73056203],40,"[0.5894833207130432, -0.3160126209259033, 0.012689712457358837, -0.015496760606765747, 0.6617174744606018, 0.18780015408992767, 0.11980652064085007, -0.3168048560619354, -0.05776230990886688, 0.20770320296287537]"
470,339f9380-7e0a-45d3-819c-c6ed8ae666db.jpg,"['#fluffy', '#crochetbaby', '#israel', '#raanana', '#knitboots', '#babies', '#uniboots', '#motherhood', '#crochetisrael', '#puffy', '#handmadeisrael']",[0.00460819 0.8248288  0.00286638 ... 1.4393365  0.1342323  0.88651574],470,"[-0.17214655876159668, -0.2667640447616577, -0.06694609671831131, 0.4041588604450226, -0.15532387793064117, -0.38696515560150146, -0.32333460450172424, 0.45322325825691223, 0.03450261428952217, -0.007347700651735067]"
164,17714b49-dc82-4e84-a19e-0da85205893e.jpg,"['#selfie', '#daily', '#iphone', '#selca', '#likeforfollow', '#likeforlikes']",[0.         0.         0.55018413 ... 0.5866865  0.         0.161521  ],164,"[0.10833661258220673, 0.016145501285791397, 0.25413280725479126, 0.037426549941301346, 0.23839150369167328, 0.039397817105054855, 0.15939924120903015, 0.003837455762550235, 0.5650162696838379, 0.1890973150730133]"
429,23d908a3-b482-4537-913d-683b266a9c09.jpg,"['#babylaughing', '#cutebabiesvideos', '#babyreels', '#cutebabyvideo', '#babies', '#babiesofinstagram', '#funnyvideos', '#cutebaby', '#instababy', '#babyvideos', '#cutebabyvideos']",[0.         0.         0.05038559 ... 0.         0.         0.        ],429,"[-0.1475786566734314, -0.2802310883998871, -0.09641674160957336, 0.4108099937438965, -0.4095726013183594, -0.25913718342781067, -0.3537260591983795, 0.3071320354938507, 0.16230686008930206, -0.10132448375225067]"
839,02417f27-3ef9-45f0-bfca-ae8bd7387135.jpg,"['#miniatureschnauzer', '#animals', '#doggy', '#dog', '#cute', '#schnauzer', '#animal', '#zwergschnauzer']",[0.04299915 0.05286905 0.44662964 ... 0.         0.         0.        ],839,"[0.1435191035270691, -0.23440884053707123, 0.22065629065036774, -0.16088911890983582, 0.012914985418319702, -0.15542654693126678, -0.40408769249916077, 0.4469335079193115, 0.1861896961927414, -0.008970952592790127]"
500,6aa088bc-e7bb-453b-915f-e0404d02ec47.jpg,"['#carlove', '#carstagram', '#austinmini', '#motorsports', '#supercar', '#hypercar', '#autos', '#autoshow', '#sportcars', '#exoticcars', '#car', '#oldmini', '#carinstagram', '#madwhips', '#instacar', '#luxurycars', '#cargirls', '#black', '#blacklist', '#caroftheday', '#carporn', '#carlifestyle', '#cars', '#jcw', '#cargasm', '#mini', '#lovecars', '#rovermini', '#justminicooper', '#minicooper']",[0.         0.         1.1846145  ... 0.06134731 0.46320352 0.        ],500,"[0.12747493386268616, -0.5003848671913147, -0.2141932249069214, 0.07669653743505478, 0.2325991988182068, -0.4092409610748291, -0.2664794325828552, -0.3153262436389923, -0.5136661529541016, -0.8064579367637634]"
169,72280caa-33bf-412b-9f82-3f6ebf21cfb4.jpg,"['#music', '#followback', '#quotes', '#tiktok', '#trending', '#likeforlike', '#viral', '#girl', '#naturephotography', '#motivation', '#followers', '#cute', '#makeup', '#india', '#likesforlikes', '#comment', '#travel', '#memes', '#selfie', '#explore', '#photoshoot', '#beauty', '#inspiration', '#followforfollow', '#instamood', '#instapic', '#photographer', '#f', '#lifestyle']",[0.28330377 0.         0.0061779  ... 0.         1.3074585  0.        ],169,"[0.14038115739822388, -0.18721719086170197, 0.3497413694858551, -0.0028577286284416914, 0.5049248933792114, -0.024182366207242012, -0.2505906820297241, -0.15588527917861938, 0.9911550879478455, -0.2274135947227478]"
283,3bfd5455-a0ae-4818-80c8-a9938da638e9.jpg,"['#goals', '#ias', '#viral', '#ips', '#video', '#mylove', '#travel', '#upsc', '#tvfaspirants', '#blogger', '#tvforiginal', '#good', '#library', '#lifequotes', '#upscforever', '#iasmotivation', '#my', '#ipsofficer', '#post', '#explore', '#upscaspirants', '#trending', '#bloopers', '#instagram']",[0.25557324 0.3922675  0.23304054 ... 0.12723158 0.         0.20492378],283,"[-0.016908658668398857, 0.04313883185386658, 0.4177628755569458, 0.09153871238231659, 0.21031062304973602, -0.24146603047847748, -1.0002233982086182, -0.3021007478237152, 0.45277780294418335, -0.08398640155792236]"
139,1ca69d62-c1bf-4526-aaee-09daae5eb4e6.jpg,"['#selfie', '#vibes', '#instaphoto', '#autumn', '#instadaily', '#outside', '#tuesday', '#mood']",[0.23548855 0.04848482 0.05492209 ... 0.         0.         0.04978491],139,"[0.08711223304271698, 0.20368027687072754, 0.2548176646232605, -0.23026084899902344, 0.23248130083084106, -0.047701917588710785, 0.21213781833648682, 0.10427343845367432, 0.6322598457336426, -0.12450896948575974]"
359,c44f72e7-82a9-49e5-ae9b-ca359df73880.jpg,"['#natural', '#travel', '#vibes', '#mountains', '#mountaingirl']",[0.22297974 0.         0.02452561 ... 0.01173758 0.         1.228257  ],359,"[0.1258440464735031, 0.08218686282634735, -0.06078403815627098, -0.24991180002689362, 0.2379714548587799, -0.2649276554584503, -0.1172257587313652, -0.02472544088959694, 0.2699737846851349, -0.14669646322727203]"
479,d646b51d-11f8-47f8-950e-dbe273e46cdd.jpg,"['#babystyle', '#instagood', '#babyboy', '#family', '#babiesofinstagram', '#babygirl', '#babyshower', '#cutebaby', '#babyphotography', '#fashion', '#ootd', '#photography', '#toddlerfashion', '#love', '#kidsfashion', '#momlife', '#babyclothes', '#babyfashionclub', '#babyfashion', '#baby', '#shopsmall', '#babyfashionista', '#babies', '#babymodel', '#newborn', '#babylove', '#motherhood', '#kids', '#beautiful', '#cute']",[0.         0.8822463  0.50646853 ... 0.2751529  0.         0.9189502 ],479,"[-0.13864390552043915, -0.2778152525424957, -0.1159207671880722, 0.5686347484588623, -0.26004406809806824, -0.27124133706092834, -0.3422912061214447, 0.5425411462783813, 0.5385525226593018, -0.18749232590198517]"
340,32687cf2-4670-4fc8-8b12-c3cc81b7df66.jpg,"['#pets', '#italy', '#dog', '#nature', '#instagram', '#picoftheday', '#instagood', '#photography', '#italia', '#dogstagram', '#dogsofinstagram', '#puppy', '#animali', '#amore', '#cani', '#doggy', '#cute', '#photooftheday', '#animal', '#doglover', '#mydog', '#instadog', '#ilovemydog', '#dogoftheday', '#cane', '#dogs', '#cucciolo', '#pet', '#animals', '#love']",[0.08579918 0.         0.         ... 0.02319405 0.         0.13112806],340,"[0.3874395787715912, -0.18084290623664856, 0.27422210574150085, -0.21615110337734222, 0.17812418937683105, -0.43335938453674316, -0.37251216173171997, 0.8027865886688232, 0.3697270154953003, 0.07270435243844986]"
980,72f1ce40-3270-46ee-a2b9-f8102dac327e.jpg,"['#laska', '#bride', '#svatebniinfo', '#foryou', '#weddingphoto', '#svatba', '#autumn', '#ostrava', '#summer', '#forest', '#brno', '#nevesta', '#couple', '#nature', '#weddingphotographer', '#love', '#mywedd', '#weddingphotography', '#wedding', '#fall', '#light', '#svatebnifoto', '#czech', '#fotograf', '#weddingdress']",[1.3164079 1.7021898 0.        ... 0.        0.        0.       ],980,"[-0.39302146434783936, -0.28077900409698486, -0.18291138112545013, -0.38351669907569885, 0.5809054970741272, 0.2976398468017578, -0.026986457407474518, 0.17058305442333221, 0.4523608684539795, -0.5781481862068176]"
431,0fdec371-cf1c-44e3-bcef-6ef2c4e0969f.jpg,"['#BabyWear', '#KidsOfInstagram', '#KidsOOTD', '#KidsWear', '#Kids', '#NightWear', '#BabiesofInstagram', '#BabyClothing', '#KidsNightSuit', '#KidsFashion', '#Parenting', '#Babies', '#BabyFashion', '#BabyStyle', '#MomLife', '#KidsClothing', '#KidsStyle', '#SummerSets', '#BabyOOTD']",[0.17664897 0.         0.33367276 ... 0.         0.         0.06514244],431,"[-0.31293201446533203, 0.8485215306282043, -0.14218288660049438, -0.040563974529504776, -0.13803841173648834, 0.21180537343025208, 0.19753122329711914, 0.07128112018108368, 0.06350252032279968, -0.6203053593635559]"
881,7b4aa4a2-6d91-4659-b3f6-522ec2afb703.jpg,"['#pup', '#pet', '#polishgirl', '#ilovemydog', '#instagood', '#makeover', '#goodvibes', '#hah', '#girl', '#dogsofinstagram', '#petsagram', '#dogs', '#petsagramworld', '#roomdecor', '#pies', '#aesthetic', '#photooftheday', '#dogi', '#instagramdogs', '#memes', '#animals', '#petstagram', '#goodday', '#cute', '#eyes', '#polskadziewczyna', '#pets', '#animal']",[0. 0. 0. ... 0. 0. 0.],881,"[-0.020376499742269516, -0.24960309267044067, 0.4950641691684723, -0.20257426798343658, 0.09153401851654053, 0.01148966234177351, -0.7499514222145081, 0.3959260880947113, 0.5830563306808472, 0.26105043292045593]"
692,3d2e7408-8e33-46c8-9984-4218db892f4a.jpg,"['#vadundee', '#biscoff', '#visitscotland', '#streetfood', '#donutlover', '#foodporn', '#nutella', '#donuts', '#foodphotography', '#vandadundee', '#shoplocal', '#awardwinning', '#treat', '#visitdundee', '#yummy', '#dundee', '#autumn', '#food', '#donut']",[0.26939675 0.39510322 0.18120031 ... 1.5770938  0.0337285  2.132895  ],692,"[0.10360173135995865, 0.8096060752868652, 0.3098289966583252, -0.20693998038768768, 0.4750728905200958, 0.12124697864055634, -0.08170847594738007, 0.3185466229915619, -0.06498141586780548, -0.3517444133758545]"
295,bd733626-3e85-45df-a038-d9a93e2a7068.jpg,"['#travelgram', '#wanderlust', '#beautiful', '#travel', '#styleblogger', '#blogger', '#singapore', '#like', '#traveltheworld', '#polishgirl', '#enjoy', '#amazing', '#liveauthentic', '#travelblogger', '#fit', '#fashionblogger', '#sheisnotlost', '#iloveyou', '#photooftheday', '#dametraveler', '#lifestyle', '#traveladdict', '#love', '#sunnyday', '#paradise', '#style', '#sunset', '#happy', '#instagood', '#girl']",[0.588035   0.05493446 0.535274   ... 1.3311987  0.44157928 0.        ],295,"[0.3561569154262543, 0.48613888025283813, -0.289680540561676, -0.1765901744365692, 0.39184072613716125, 0.10592170059680939, -0.37010619044303894, 0.0861373245716095, 0.8955133557319641, -0.1778969168663025]"
250,d793dc72-ae3d-47c5-bf7a-82c7d2f99d09.jpg,"['#nature', '#Repost', '#okinawa', '#trip', '#travel', '#okinawatrip', '#uruma']",[0.         0.         0.19344287 ... 0.5252832  0.08310039 0.06975613],250,"[0.2310430407524109, 0.040259528905153275, -0.08068562299013138, -0.33399730920791626, 0.0489497035741806, -0.11691868305206299, -0.2916307747364044, -0.03575078025460243, 0.2953731119632721, -0.14635999500751495]"
402,dd53d570-4188-4290-baa2-d3b0e5cd12a3.jpg,"['#enfant', '#love', '#family', '#babies', '#fun', '#babylove', '#cute', '#kids', '#funny', '#happy', '#baby']",[0.740556   1.1415561  0.9700977  ... 0.17349038 0.         0.17619577],402,"[0.02706792764365673, -0.3019828200340271, 0.0941522940993309, 0.2380090206861496, -0.12026271969079971, -0.052692264318466187, -0.39525890350341797, 0.3016289174556732, 0.5882601737976074, -0.1477605551481247]"
432,60de64f7-39c4-4928-8ab4-f50d0f69dc1f.jpg,"['#abujaonlinestore', '#mumsofdaughters', '#babygirls', '#hairbowsinabuja', '#handmadewithlove', '#hairaccesoriesforgirls', '#shopsmallbusiness', '#abujabusiness', '#hairaccesoriesforbabies', '#hairaccesories', '#hairbows', '#giftideas', '#bowshopabuja', '#hairbowsforsale', '#giftitems', '#birthdaygirl', '#souvenirideas', '#partypacksinabuja', '#giantbows', '#abujakids', '#handmade', '#abujakidstore', '#gatsby', '#babies', '#bigbows', '#alicebands', '#abujaonlinekidstore', '#childrenphotoshoot', '#motheranddaughter', '#mumsofinstagram']",[0.         0.06882847 0.         ... 0.01353642 0.         0.        ],432,"[-0.3612130880355835, -0.2962251603603363, -0.14161065220832825, 0.8999390602111816, -0.4941960275173187, -0.9348086714744568, 0.03671974688768387, -0.12335246801376343, 0.21797651052474976, -0.21634282171726227]"
94,aed50679-ed25-43af-8da6-da61b7f97c3c.jpg,"['#vegan', '#lifestyle', '#health', '#fit', '#fitnessmodel', '#personaltrainer', '#healthyliving', '#gymmotivation', '#fitness', '#breakfast', '#fitnessmotivation', '#healthyfood', '#weightloss', '#healthy', '#dessert', '#muscle', '#bodybuilding', '#exercise', '#training', '#gymlife', '#weightlossjourney', '#organic', '#strong', '#healthylifestyle', '#foodporn', '#workout', '#motivation', '#gym', '#nutrition']",[0. 0. 0. ... 0. 0. 0.],94,"[0.541242778301239, 0.20044828951358795, -0.1348477005958557, 0.5191652774810791, 0.4499630630016327, 0.11036434024572372, -0.40453118085861206, -0.2854759693145752, 0.12616874277591705, -0.11231376975774765]"
377,0ace6ec6-2939-413a-9f92-0314af1ddf4c.jpg,"['#green', '#nature', '#djimini', '#z', '#unexpectedphotos', '#photography', '#likeforlikes', '#drzewa', '#jezioro', '#travel', '#ziele', '#lake', '#lot', '#dronephotography', '#dji', '#zdj', '#trees', '#photo', '#beautiful']",[0.02691327 0.4173025  0.         ... 0.         0.2214914  0.30918655],377,"[-0.06351595371961594, 0.11102863401174545, 0.12769146263599396, -0.47238028049468994, 0.16930414736270905, -0.6885005235671997, -0.10338300466537476, -0.126031756401062, 0.6929153203964233, -0.08955070376396179]"
920,9d77ecfe-49ec-41fa-9677-aa808b1ef833.jpg,"['#trabzon', '#brided', '#nedimetac', '#bridetac', '#bekarl', '#bridecaketopper', '#nedimeler', '#nedimeta', '#gelinyelpazesi', '#nedimeaksesuar', '#nedimebileklikleri', '#nedimed', '#nedimebileklik', '#bridetobe', '#nedime', '#nikahkalemi', '#wedding', '#afterparty', '#brideku', '#nedimebilekli', '#t', '#weddingdress']",[0.         0.49783593 1.2474958  ... 0.906555   0.         0.30903608],920,"[-0.09383701533079147, 0.0540463849902153, -0.3155370056629181, -0.06616239249706268, 0.7739773392677307, 0.33503878116607666, -0.13353231549263, 0.6553904414176941, -0.2947087585926056, -0.11434605717658997]"
57,9e65c0f9-2321-4107-b508-3554c2876119.jpg,"['#bhfyp', '#fit', '#personaltrainer', '#gymmotivation', '#fitness', '#fitnessmotivation', '#entrenador', '#a', '#yoteayudo', '#salud', '#vidasana', '#entrenamiento', '#ejercicio', '#motivacion', '#gimnasio', '#bodybuilding', '#training', '#dieta', '#deporte', '#nutricion', '#fuerza', '#workout', '#motivation', '#gym', '#entrenamientofuncional', '#entrenadorpersonal', '#entrenamientopersonal', '#coach', '#crossfit']",[0.         0.         0.30404732 ... 0.01664469 0.         0.00506397],57,"[0.6261447072029114, -0.16403989493846893, -0.1781480312347412, 0.6756277084350586, 0.19688694179058075, 0.13598456978797913, -0.324156254529953, -0.31044718623161316, 0.010611793026328087, -0.43936777114868164]"
868,ca1eed9d-cf43-41e0-9dea-dd0ecd9bb4b2.jpg,"['#pet', '#ilovemydog', '#schnauzersofinstagram', '#schnauzerlove', '#dogoftheday', '#lovedogs', '#schnauzermini', '#night', '#dogstagram', '#minischnauzer', '#good', '#dogsofinstagram', '#doglover', '#pupps', '#dogs', '#miniatureschnauzer', '#instadog', '#furiends', '#instagramdogs', '#schnauzers', '#animals', '#my', '#petstagram', '#dog', '#schnauzer', '#schnauzerlovers', '#schnauzerworld', '#pets', '#animal', '#zwergschnauzer']",[0.01775933 0.         0.         ... 0.         3.0133686  0.        ],868,"[0.19247116148471832, -0.23803871870040894, 0.6013443470001221, -0.24124523997306824, 0.22084929049015045, -0.22541916370391846, -0.6281101703643799, 0.5698543190956116, 0.015384822152554989, 0.18675562739372253]"
966,91471008-02fb-45f3-a2cb-2e076986f149.jpg,"['#pengantinhijab', '#palembang', '#aqiqah', '#hijab', '#prawed', '#pernikahan', '#pengantinmuslimah', '#alkena', '#dokumentasi', '#outdoor', '#alkenapalembang', '#akadnikah', '#ngunduhmantu', '#fotograferpalembang', '#hunting', '#jasafoto', '#prawedding', '#weddingpalembang', '#liputan', '#akikahpalembang', '#wedding', '#flashfotografer', '#pascawedding', '#marhaba', '#praweddingpalembang', '#akikah', '#videoshooting', '#resepsi', '#palembangwedding']",[0.         0.         0.         ... 0.92388886 0.         0.6414667 ],966,"[-0.3031509816646576, 0.04961392655968666, -0.7802407741546631, 0.5119683146476746, 0.4622456431388855, 0.37529611587524414, 0.6782999038696289, 0.07283537834882736, 0.1389237344264984, -0.23477984964847565]"
647,cb145f13-f34d-426c-96dc-db954dfc8454.jpg,"['#Sweet', '#Heart', '#Kuwait', '#Q', '#Color', '#draculateeth', '#Colors', '#Sweets', '#Candy', '#Gelatin', '#Foods', '#Food', '#CandyPirates', '#TheAvenues']",[0. 0. 0. ... 0. 0. 0.],647,"[-0.04862447455525398, 0.008013366721570492, 0.07872690260410309, 0.22032299637794495, 0.2273159623146057, -0.5270771384239197, 0.1373308151960373, 0.4365323483943939, -0.33943241834640503, -0.40926462411880493]"
923,504a12db-d3a3-4a93-aad7-bb209e3a9749.jpg,"['#iphonesia', '#my', '#yummy', '#funny', '#instasize', '#igdayly', '#red', '#baby', '#blue', '#tweegram', '#nice', '#instafollow', '#pink', '#makeup', '#instacool', '#iphoneonly', '#awesome', '#instapic', '#black', '#webstagram', '#wedding', '#night', '#cat', '#followback', '#instik', '#instalove', '#sweet', '#throwback', '#blackandwhite']",[0.         0.         0.         ... 0.00864822 0.05592508 0.        ],923,"[0.0771624892950058, -0.17641769349575043, 0.26764044165611267, -0.24225929379463196, 0.9173310995101929, -0.007738456130027771, -0.5491401553153992, 0.26621121168136597, 0.918935239315033, -0.4919036328792572]"
983,887a8b71-b2ba-4312-8a42-a6991270307b.jpg,"['#weddinginspiration', '#wedding', '#londonwedding', '#iyalaje', '#bridesmaiddresses', '#bridalinspiration', '#bridetobe', '#londonphotographer', '#naijawedding', '#arabianwedding', '#bridalfabric']",[0.         0.         0.         ... 0.         0.15111506 1.171798  ],983,"[-0.32662999629974365, -0.07331658899784088, -0.31047725677490234, 0.15966388583183289, 0.37748584151268005, 0.29995590448379517, 0.10564756393432617, 0.19874180853366852, 0.03636906296014786, -0.10767942667007446]"
944,73e0214d-4330-4732-8efd-3864175d1fcb.jpg,"['#matrimony', '#marriageagent', '#hindubride', '#wedding', '#muslimbride', '#hindugroom', '#marriageconsultant', '#muslimgroom', '#christiangroom', '#matrimonial', '#christianbride', '#marriagebroker']",[0.         0.         1.0235524  ... 0.         0.         0.97252303],944,"[-0.06682924181222916, -0.25820326805114746, -0.6047630310058594, 0.1821584850549698, 0.34121233224868774, 0.38582760095596313, 0.1608377993106842, 0.20117197930812836, 0.04126434400677681, 0.026538506150245667]"
306,c8019a2a-5c98-4cf7-b048-bd165b4fb03c.jpg,"['#earthfocus', '#thisisliving', '#voyaged', '#nature', '#earthpix', '#sunrise', '#earth', '#paradise', '#travelgram', '#sunset', '#dronepals', '#canon', '#lovensw', '#storm', '#exploringaustralia', '#oceanlove', '#moodygrams', '#beachlife', '#skysupply', '#takemetoaustralia', '#seeaustralia', '#droneoftheday', '#discoverearth', '#dji', '#eclectic', '#eurobodalla', '#fromwhereidrone', '#newsouthwales', '#earthofficial']",[1.3200176  0.17866196 0.1123431  ... 1.5901914  0.4726255  1.998862  ],306,"[0.21136049926280975, 0.48009008169174194, -0.6356713771820068, -0.6120527982711792, 0.11022612452507019, -0.7324284315109253, -0.29907795786857605, 0.40827834606170654, 0.05265520140528679, -0.27386465668678284]"
676,26e2c371-6304-430a-9241-862433f712a2.jpg,"['#tacosdoradosdebirria', '#birrierialoscompaskm', '#mexico', '#thebest', '#food', '#realtacos', '#tacostacostacos', '#birriatacos', '#dorados', '#carneasada']",[0.45684242 1.7367934  0.         ... 1.9931915  0.         0.01985947],676,"[0.19152505695819855, 0.40557730197906494, 0.30475112795829773, 0.036824896931648254, 0.15315581858158112, -0.2977837920188904, 0.1642220914363861, -0.09136554598808289, 0.28487449884414673, 0.14107467234134674]"
339,b5d6cc9c-95f6-449b-9ffa-9b1e796c0af4.jpg,"['#roadbike', '#nature', '#r', '#honda', '#ciclismo', '#photography', '#bike', '#cycling', '#bicicleta', '#mtb', '#motorbike', '#yamaha', '#mtblife', '#moto', '#biker', '#bikelife', '#sport', '#cyclinglife', '#bikes', '#bikersofinstagram', '#motorcycle', '#mountainbike', '#instabike', '#bikeporn', '#bikeride', '#ktm', '#roadcrewbikersclub', '#ride', '#love', '#bicycle']",[0.        0.1113125 2.1449883 ... 0.        0.        1.1217566],339,"[0.4298238754272461, -0.8408596515655518, -0.03652968630194664, 0.10272764414548874, 0.6002503633499146, -0.7175840735435486, -0.3571704030036926, -0.23783442378044128, 0.21380198001861572, 0.1404746174812317]"
919,deeae2b0-c85b-4b4e-b447-febdbe52b5c4.jpg,"['#wedding', '#work', '#henna', '#bride', '#picture', '#mutluluk', '#photography']",[1.0267205  0.29423252 0.11475584 ... 0.         0.         0.23592633],919,"[-0.26822221279144287, -0.08660385757684708, -0.023277519270777702, 0.06714153289794922, 0.28683945536613464, 0.06168278679251671, -0.11936488002538681, 0.2561129927635193, 0.4259299337863922, -0.15591758489608765]"
120,563f0acf-b2b1-46f6-ab62-3f84dd13b078.jpg,"['#nature', '#CzechGirl', '#BeautyOfNature', '#GardeningLife', '#zahradnice', '#MoravianGirl', '#grapes', '#p', '#hrozny', '#CzechNature', '#zahrada', '#CzechRepublic', '#gardening', '#NatureLover', '#v', '#Kr', '#autumn', '#BeautyOfCzechNature', '#podzim', '#lenzden', '#gardener', '#selfie', '#zahradni', '#garden', '#Hroznov', '#MotherNature']",[0.5387098  1.0460738  0.29482827 ... 0.         0.07228147 0.19073097],120,"[-0.08282776921987534, -0.17152515053749084, 0.6461340188980103, -0.19780637323856354, 0.2671494483947754, 0.14229029417037964, 0.2260623276233673, -0.007601801306009293, 0.03389802947640419, -0.9479157328605652]"
54,afec02ce-63d7-4fd4-b8c6-bbbe491243fa.jpg,"['#breathefitness', '#pilates', '#personaltraining', '#healthy', '#training', '#pilatesmat', '#functionaltraining', '#reformerpilates', '#heraklion', '#fitness', '#fitnesslife', '#prepostnatal']",[0.4148757 0.2403206 0.        ... 0.6838784 0.        0.       ],54,"[0.4884874224662781, 0.0656384602189064, 0.14852683246135712, 0.49334895610809326, 0.26192140579223633, -0.024437658488750458, -0.08293810486793518, -0.2681788504123688, 0.0717848390340805, 0.14214180409908295]"
969,fe95a9ef-447a-436b-b5b3-e19fa8599e3f.jpg,"['#brides', '#asiaafrikabandung', '#promo', '#cimahi', '#bridesmaids', '#bandung', '#promowedding', '#inspirasiwedding', '#vendorwedding', '#coupleprewedding', '#vendorbandung', '#prewedd', '#alunalunbandung', '#tamanlalulintasbandung', '#couple', '#rgcinematography', '#bridalshower', '#shootprewed', '#prewedding', '#wedding', '#inspirasinikah', '#couplewedding', '#inspirasiprewedding']",[0.        0.5987061 0.        ... 0.        0.        0.       ],969,"[-0.5352997183799744, 0.20281487703323364, -0.1095016747713089, -0.21894288063049316, 0.29421114921569824, 0.7626447677612305, -0.16323484480381012, 0.18927565217018127, -0.13968409597873688, -0.6755363345146179]"
634,3efe1e63-c8c5-48f3-889f-5e68b5ea2f64.jpg,"['#follow', '#CoCo', '#Instafood', '#lunch', '#curry', '#food', '#me']",[2.8815043  0.0445315  0.         ... 0.18868615 0.17402539 0.        ],634,"[0.22458897531032562, 0.27584585547447205, 0.1155315488576889, 0.14658135175704956, 0.25498849153518677, 0.013540687970817089, -0.14554734528064728, 0.2245096117258072, 0.4386298358440399, -0.049682289361953735]"
646,d5eb5638-ed5d-4f0f-b612-7429cde89286.jpg,"['#coffeebreak', '#espresso', '#instafood', '#barista', '#coffee', '#coffeeshop', '#foodporn', '#cappuccino', '#instagood', '#chocolate', '#coffeelover', '#piekarniawarszawa', '#latte', '#foodie', '#coffeelovers', '#love', '#specialtycoffee', '#coffeeaddict', '#kopi', '#photography', '#cafe', '#breakfast', '#food', '#coffeetime', '#tea', '#coffeeholic', '#bakerywarsaw']",[3.19815    0.5262125  0.08383341 ... 1.4897157  0.1026879  0.27471143],646,"[0.06366927176713943, 0.5996348857879639, 0.25558140873908997, 0.004785800352692604, -0.008428436703979969, 0.19623923301696777, -0.7810976505279541, 0.16687704622745514, 0.35358962416648865, -0.6602734327316284]"
620,f6d46cbf-2574-44fc-ae26-930ec5ba6b0d.jpg,"['#africafood', '#nigeriafood', '#food', '#africafoodyummy', '#nigeriaghana']",[0.         0.         0.         ... 0.7957358  0.         0.20444845],620,"[0.18155959248542786, 0.24798409640789032, 0.11878880858421326, 0.026521824300289154, 0.1398915797472, 0.024058040231466293, -0.05896379053592682, -0.018742792308330536, 0.16831937432289124, 0.016223672777414322]"
871,5ce77732-234f-44a0-8498-b5673321bdf7.jpg,"['#landscape', '#tiere', '#nature', '#placestovisit', '#love', '#laugh', '#Park', '#ichliebedich', '#travelphotography', '#scharbach', '#travelling', '#peaceofmind', '#live', '#photographlovers', '#naturephotography', '#photooftheday', '#traveler', '#animals', '#austria']",[0.03760406 0.7026623  0.9679442  ... 0.47267985 0.05064827 0.        ],871,"[-0.0053061931394040585, 0.18703171610832214, -0.22242392599582672, -0.33973535895347595, 0.1689125895500183, -0.6653494834899902, -0.2355983853340149, 0.2362200915813446, 0.43812596797943115, -0.3456777036190033]"
